ID,TOP_LANDCOVER
0,12
1,12
2,12
3,12
4,12
5,12
6,1
7,1
8,1
9,1
10,1
11,3
12,12
13,12
14,12
15,12
16,12
17,5
18,12
19,12
20,12
21,12
22,12
23,1
24,3
25,3
26,3
27,5
28,3
29,3
30,12
31,12
32,12
33,5
34,12
35,12
36,12
37,12
38,12
39,12
40,12
41,12
42,5
43,12
44,12
45,12
46,12
47,12
48,1
49,1
50,12
51,12
52,12
53,12
54,3
55,1
56,3
57,3
58,12
59,12
60,12
61,12
62,1
63,1
64,3
65,1
66,1
67,12
68,12
69,12
70,1
71,1
72,12
73,12
74,12
75,12
76,12
77,12
78,12
79,12
80,12
81,5
82,3
83,12
84,12
85,12
86,12
87,1
88,1
89,12
90,3
91,1
92,5
93,1
94,3
95,12
96,12
97,12
98,12
99,12
100,5
101,5
102,5
103,12
104,5
105,5
106,5
107,5
108,5
109,5
110,5
111,5
112,5
113,5
114,5
115,5
116,5
117,5
118,5
119,5
120,5
121,5
122,5
123,5
124,5
125,5
126,5
127,5
128,5
129,5
130,5
131,5
132,5
133,5
134,5
135,5
136,5
137,5
138,5
139,5
140,5
141,5
142,5
143,5
144,5
145,5
146,5
147,5
148,5
149,5
150,5
151,5
152,5
153,5
154,5
155,5
156,5
157,5
158,5
159,5
160,5
161,5
162,5
163,5
164,5
165,5
166,5
167,12
168,5
169,5
170,5
171,5
172,5
173,12
174,5
175,5
176,5
177,5
178,5
179,5
180,5
181,5
182,5
183,5
184,5
185,5
186,5
187,5
188,5
189,5
190,5
191,5
192,5
193,5
194,5
195,5
196,5
197,5
198,5
199,5
200,4
201,4
202,4
203,4
204,4
205,4
206,12
207,12
208,12
209,12
210,12
211,12
212,12
213,12
214,12
215,12
216,12
217,12
218,12
219,12
220,12
221,12
222,12
223,12
224,12
225,12
226,12
227,12
228,12
229,12
230,12
231,12
232,12
233,12
234,12
235,12
236,12
237,12
238,12
239,12
240,12
241,12
242,12
243,12
244,12
245,12
246,12
247,12
248,12
249,12
250,12
251,12
252,12
253,12
254,12
255,12
256,12
257,4
258,4
259,12
260,12
261,12
262,4
263,4
264,4
265,4
266,4
267,4
268,4
269,4
270,12
271,12
272,12
273,12
274,12
275,12
276,12
277,12
278,12
279,12
280,12
281,12
282,12
283,12
284,12
285,12
286,12
287,12
288,12
289,12
290,12
291,12
292,12
293,12
294,12
295,12
296,12
297,12
298,12
299,12
300,12
301,12
302,12
303,12
304,12
305,12
306,12
307,12
308,1
309,12
310,12
311,12
312,12
313,12
314,12
315,12
316,12
317,12
318,12
319,12
320,12
321,12
322,12
323,12
324,12
325,12
326,12
327,12
328,12
329,12
330,12
331,12
332,12
333,12
334,12
335,12
336,12
337,12
338,12
339,12
340,12
341,12
342,12
343,12
344,12
345,12
346,12
347,12
348,12
349,12
350,12
351,12
352,12
353,12
354,12
355,12
356,12
357,12
358,12
359,12
360,12
361,12
362,12
363,12
364,12
365,12
366,12
367,12
368,12
369,12
370,12
371,12
372,1
373,12
374,12
375,12
376,12
377,12
378,12
379,12
380,12
381,12
382,12
383,12
384,12
385,12
386,12
387,12
388,12
389,12
390,12
391,12
392,12
393,12
394,12
395,12
396,12
397,12
398,12
399,12
400,12
401,12
402,12
403,12
404,12
405,12
406,12
407,12
408,12
409,12
410,12
411,12
412,12
413,12
414,12
415,12
416,12
417,12
418,12
419,12
420,12
421,12
422,12
423,12
424,12
425,12
426,12
427,12
428,12
429,12
430,12
431,12
432,12
433,12
434,12
435,12
436,12
437,12
438,12
439,12
440,12
441,12
442,12
443,12
444,12
445,12
446,12
447,12
448,12
449,12
450,12
451,12
452,12
453,12
454,12
455,12
456,12
457,12
458,12
459,12
460,12
461,12
462,12
463,12
464,12
465,12
466,12
467,12
468,12
469,12
470,12
471,12
472,12
473,12
474,12
475,12
476,12
477,12
478,12
479,12
480,12
481,12
482,12
483,12
484,12
485,12
486,12
487,12
488,12
489,12
490,12
491,12
492,12
493,12
494,12
495,12
496,12
497,12
498,12
499,12
500,12
501,12
502,12
503,12
504,12
505,12
506,12
507,12
508,12
509,12
510,12
511,12
512,12
513,12
514,12
515,12
516,12
517,12
518,12
519,12
520,12
521,12
522,12
523,12
524,12
525,12
526,12
527,12
528,12
529,12
530,12
531,12
532,12
533,12
534,12
535,12
536,12
537,12
538,12
539,12
540,12
541,12
542,12
543,1
544,12
545,12
546,12
547,19
548,12
549,12
550,12
551,12
552,12
553,12
554,12
555,12
556,12
557,12
558,12
559,12
560,12
561,12
562,12
563,12
564,12
565,12
566,12
567,12
568,12
569,11
570,12
571,12
572,12
573,12
574,12
575,11
576,12
577,12
578,12
579,12
580,12
581,12
582,12
583,12
584,12
585,12
586,12
587,12
588,12
589,12
590,12
591,12
592,12
593,12
594,12
595,12
596,12
597,12
598,12
599,12
600,12
601,12
602,12
603,12
604,12
605,12
606,12
607,12
608,12
609,12
610,12
611,12
612,12
613,12
614,12
615,12
616,12
617,12
618,12
619,12
620,12
621,12
622,12
623,12
624,12
625,12
626,12
627,12
628,12
629,12
630,12
631,12
632,12
633,12
634,12
635,12
636,12
637,12
638,12
639,12
640,12
641,12
642,12
643,12
644,12
645,12
646,12
647,12
648,12
649,12
650,12
651,12
652,12
653,12
654,12
655,12
656,12
657,12
658,12
659,12
660,12
661,12
662,12
663,12
664,12
665,12
666,12
667,12
668,12
669,12
670,12
671,12
672,12
673,12
674,12
675,12
676,12
677,12
678,12
679,12
680,12
681,12
682,12
683,12
684,12
685,12
686,12
687,12
688,12
689,12
690,12
691,12
692,12
693,12
694,12
695,12
696,12
697,12
698,12
699,12
700,12
701,12
702,12
703,12
704,12
705,12
706,12
707,3
708,1
709,12
710,12
711,12
712,12
713,12
714,12
715,12
716,12
717,12
718,12
719,5
720,5
721,12
722,1
723,1
724,1
725,12
726,12
727,12
728,12
729,12
730,12
731,12
732,12
733,12
734,12
735,12
736,12
737,12
738,12
739,12
740,12
741,12
742,12
743,12
744,12
745,12
746,1
747,1
748,12
749,12
750,12
751,12
752,12
753,12
754,12
755,12
756,12
757,1
758,1
759,1
760,12
761,12
762,12
763,12
764,12
765,12
766,12
767,5
768,5
769,5
770,1
771,1
772,1
773,12
774,12
775,12
776,12
777,12
778,12
779,12
780,12
781,12
782,12
783,5
784,5
785,12
786,1
787,1
788,1
789,12
790,12
791,12
792,12
793,12
794,12
795,12
796,12
797,12
798,12
799,12
800,1
801,12
802,12
803,12
804,12
805,3
806,3
807,12
808,12
809,1
810,1
811,1
812,1
813,1
814,1
815,1
816,5
817,12
818,12
819,12
820,12
821,5
822,5
823,5
824,5
825,5
826,5
827,5
828,5
829,5
830,5
831,1
832,1
833,1
834,1
835,1
836,12
837,12
838,12
839,12
840,12
841,12
842,12
843,1
844,1
845,1
846,3
847,3
848,1
849,3
850,1
851,1
852,1
853,1
854,1
855,1
856,1
857,1
858,1
859,1
860,12
861,1
862,3
863,1
864,1
865,12
866,12
867,12
868,12
869,12
870,1
871,1
872,1
873,1
874,1
875,5
876,5
877,3
878,3
879,3
880,5
881,5
882,12
883,5
884,5
885,5
886,5
887,5
888,5
889,5
890,5
891,5
892,5
893,4
894,1
895,1
896,1
897,1
898,1
899,12
900,12
901,12
902,12
903,12
904,12
905,12
906,12
907,12
908,12
909,12
910,12
911,12
912,12
913,12
914,12
915,12
916,12
917,12
918,12
919,12
920,12
921,12
922,12
923,12
924,12
925,12
926,12
927,12
928,12
929,12
930,12
931,12
932,12
933,12
934,12
935,12
936,12
937,19
938,12
939,12
940,12
941,12
942,5
943,12
944,5
945,12
946,12
947,12
948,12
949,12
950,12
951,12
952,12
953,12
954,12
955,12
956,12
957,12
958,12
959,12
960,12
961,12
962,12
963,12
964,12
965,12
966,12
967,12
968,12
969,12
970,12
971,12
972,12
973,12
974,12
975,12
976,12
977,12
978,12
979,12
980,12
981,12
982,12
983,12
